分类,题干,A,B,C,D,E,正确答案,解析
基础科目,"《动物防疫法》规定，发现动物染疫或者疑似染疫的，应当⽴即向有关部门报告，包括（
）。",当地农业农村主管部门或者动物疫病预防控制机构,当地⼈民政府,当地动物卫⽣监督机构,兽医主管部门和当地动物卫⽣监督机构,兽医主管部门,A,"标准答案：A
出处：押题1.pdf
解析：《动物防疫法》第三⼗⼀条规定：从事动物疫病监测、检测、检验检疫、研究、诊疗以及动物饲
养、屠宰、经营、隔离、运输等活动的单位和个⼈，发现动物染疫或者疑似染疫的，应当⽴即向所
在地农业农村主管部门或者动物疫病预防控制机构报告，并迅速采取隔离等控制措施，防⽌动物疫
情扩散。其他单位和个⼈发现动物染疫或者疑似染疫的，应当及时报告。"
基础科目,动物诊疗机构使⽤的病历档案应当保存的时限是（ ）。,3年以上,4年以上,2年以上,5年以上,1年以上,A,"标准答案：A
出处：押题1.pdf
解析：根据《动物诊疗机构管理办法》：动物诊疗机构应当使⽤规范的病历、处⽅笺，病历，处⽅笺应当
印有动物诊疗机构名称，病历档案应当保存3年以上。"
基础科目,合法捕获野⽣动物的，应当在捕获后（ ）向捕获地县级动物卫⽣监督机构申报检疫。,4天内,5天内,3天内,6天内,2天内,C,"标准答案：C
出处：押题1.pdf
解析：《动物检疫管理办法》第九条规定：合法捕获野⽣动物的，应当在捕获后3天内向捕获地县级动物卫
⽣监督机构申报检疫。"
基础科目,对动物、动物产品实施检疫⼯作的是（ ）。,公共兽医,官⽅兽医,私⼈兽医,民营兽医,执业兽医,B,"标准答案：B
出处：押题1.pdf
解析：《动物防疫法》规定：动物卫⽣监督机构的官⽅兽医具体实施动物、动物产品检疫。"
基础科目,"《动物检疫管理办法》规定，出售、运输乳⽤动物、种⽤动物及其精液、卵、胚胎、种蛋，以及
参加展览、演出和⽐赛的动物应提前（ ）天申报检疫。",7,10,5,15,3,D,"标准答案：D
出处：押题1.pdf
解析：《动物检疫管理办法》第⼋条规定：出售、运输乳⽤动物、种⽤动物及其精液、卵、胚胎、种蛋，
以及参加展览、演出和⽐赛的动物，应当提前15天申报检疫。"
基础科目,"参加展览、演出和⽐赛的动物未附有检疫证明的，由县级以上地⽅⼈民政府农业农村主管部门责
令改正，处（ ）以上（ ）以下罚款。",1000元；5000元,2000元；5000元,1500元；3000元,1000元；10000元,3000元；10000元,E,"标准答案：E
出处：押题1.pdf
解析：《中华⼈民共和国动物防疫法》第⼀百条规定：①违反本法规定，屠宰、经营、运输的动物未附有
检疫证明，经营和运输的动物产品未附有检疫证明、检疫标志的，由县级以上地⽅⼈民政府农业农
村主管部门责令改正，处同类检疫合格动物、动物产品货值⾦额⼀倍以下罚款；对货主以外的承运
⼈处运输费⽤三倍以上五倍以下罚款，情节严重的，处五倍以上⼗倍以下罚款。②违反本法规定，
⽤于科研、展⽰、演出和⽐赛等⾮⾷⽤性利⽤的动物未附有检疫证明的，由县级以上地⽅⼈民政府
农业农村主管部门责令改正，处三千元以上⼀万元以下罚款。"
基础科目,"违反《执业兽医和乡村兽医管理办法》的规定，执业兽医在动物诊疗活动中有哪种⾏为，由县级
以上地⽅⼈民政府农业农村主管部门责令限期改正，处⼀千元以上五千元以下罚款？（ ）",不使⽤病历，或者应当开具处⽅未开具处⽅的,不规范填写处⽅笺、病历的,未经亲⾃诊断、治疗，开具处⽅、填写诊断书、出具动物诊疗有关证明⽂件的,伪造诊断结果，出具虚假动物诊疗证明⽂件的,以上都对,E,"标准答案：E
出处：押题1.pdf
解析：《执业兽医和乡村兽医管理办法》规定：违反本办法规定，执业兽医在动物诊疗活动中有下列⾏为
之⼀的，由县级以上地⽅⼈民政府农业农村主管部门责令限期改正，处⼀千元以上五千元以下罚
款：①不使⽤病历，或者应当开具处⽅未开具处⽅的；②不规范填写处⽅笺、病历的；③未经亲⾃
诊断、治疗，开具处⽅、填写诊断书、出具动物诊疗有关证明⽂件的；④伪造诊断结果，出具虚假
动物诊疗证明⽂件的。"
基础科目,"⼈⼯捕获的可能传播动物疫病的野⽣动物，应当报经捕获地（ ）检疫合格后，⽅可饲养、经
营和运输。",林业部门,动物卫⽣监督机构,野⽣动物保护部门,地⽅各级⼈民政府,兽医主管部门,B,"标准答案：B
出处：押题1.pdf
解析：《动物防疫法》第五⼗条规定：⼈⼯捕获的野⽣动物，应当按照国家有关规定报捕获地动物卫⽣监
督机构检疫，检疫合格的，⽅可饲养、经营和运输。"
基础科目,《中华⼈民共和国动物防疫法》所称的动物产品，是指（ ）。,动物的精液、卵、胚胎,可能传播动物疫病的奶、蛋,动物的脏器、脂、⾎液,动物的⾁、⽣⽪、原⽑、绒、⾻、蹄、头、⾓、筋,以上都是,E,"标准答案：E
出处：押题1.pdf
解析：《动物防疫法》中动物是指家畜家禽和⼈⼯饲养、捕获的其他动物；动物产品是指动物的⾁、⽣
⽪、原⽑、绒、脏器、脂、⾎液、精液、卵、胚胎、⾻、蹄、头、⾓、筋以及可能传播动物疫病的
奶、蛋等。"
基础科目,"输⼊到⽆规定动物疫病区的动物，应当在输⼊地省级动物卫⽣监督机构指定的隔离场所进⾏隔离
检疫。⼩型动物的隔离期为（ ）。",30天,35天,20天,45天,15天,A,"标准答案：A
出处：押题1.pdf
解析：根据《动物检疫管理办法》第三⼗三条：输⼊到⽆规定动物疫病区的相关易感动物，应当在输⼊地
省、⾃治区、直辖市动物卫⽣监督机构指定的隔离场所，按照农业部规定的⽆规定动物疫病区有关
检疫要求隔离检疫。⼤中型动物隔离检疫期为45天，⼩型动物隔离检疫期为30天。"
基础科目,"《重⼤动物疫情应急条例》规定，重⼤动物疫情发⽣后，省、⾃治区、直辖市⼈民政府和国务院
兽医主管部门应在（ ）内向国务院报告。",3⼩时,2⼩时,4⼩时,1⼩时,6⼩时,C,"标准答案：C
出处：押题1.pdf
解析：《重⼤动物疫情应急条例》第⼗七条规定：①初步认为属于重⼤动物疫情的，应当在2⼩时内将情况
逐级报省、⾃治区、直辖市动物防疫监督机构，并同时报所在地⼈民政府兽医主管部门；兽医主管
部门应当及时通报同级卫⽣主管部门。②省、⾃治区、直辖市动物防疫监督机构应当在接到报告后1
⼩时内，向省、⾃治区、直辖市⼈民政府兽医主管部门和国务院兽医主管部门所属的动物防疫监督
机构报告。③省、⾃治区、直辖市⼈民政府兽医主管部门应当在接到报告后1⼩时内报本级⼈民政府
和国务院兽医主管部门。④重⼤动物疫情发⽣后，省、⾃治区、直辖市⼈民政府和国务院兽医主管
部门应当在4⼩时内向国务院报告。"
基础科目,《兽药经营质量管理规范》规定，兽药经营企业经营的特殊兽药不包括（ ）。,毒性药品,放射性药品,精神药品,助消化药品,⿇醉药品,D,"标准答案：D
出处：押题1.pdf
解析：《兽药经营质量管理规范》规定：兽药经营企业经营兽⽤⿇醉药品、精神药品、易制毒化学药品、
毒性药品、放射性药品等特殊药品，还应当遵守国家其他有关规定。"
基础科目,不需要申请办理《动物防疫条件合格证》的场所有（ ）。,动物隔离场所,动物和动物产品⽆害化处理场所,动物饲养场,动物屠宰加⼯场所,经营动物、动物产品的集贸市场,E,"标准答案：E
出处：押题1.pdf
解析：《动物防疫条件审查办法》规定动物饲养场（C项）、动物隔离场所（A项）、动物屠宰加⼯场所
（D项）以及动物和动物产品⽆害化处理场所（B项），应当符合本办法规定的动物防疫条件，并取
得动物防疫条件合格证。"
基础科目,"刘某欲在县城开⼀家动物医院。该动物医院除了要有相关的场所和设施等外，必须取得（
）。",兽药经营许可证,动物检疫合格证,动物诊疗许可证,动物产品检疫合格证,动物防疫合格证,C,"标准答案：C
出处：押题1.pdf
解析：根据《动物诊疗机构管理办法》第五条：国家实⾏动物诊疗许可制度。从事动物诊疗活动的机构，
应当取得动物诊疗许可证，并在规定的诊疗活动范围内开展动物诊疗活动。"
基础科目,从事⾼致病性病原微⽣物相关实验活动应当有（ ）以上的⼯作⼈员共同进⾏。,3名,4名,2名,5名,1名,C,"标准答案：C
出处：押题1.pdf
解析：根据《病原微⽣物实验室⽣物安全管理条例》第三⼗五条：①从事⾼致病性病原微⽣物相关实验活
动应当有2名以上的⼯作⼈员共同进⾏。②进⼊从事⾼致病性病原微⽣物相关实验活动的实验室的⼯
作⼈员或者其他有关⼈员，应当经实验室负责⼈批准。实验室应当为其提供符合防护要求的防护⽤
品并采取其他职业防护措施。从事⾼致病性病原微⽣物相关实验活动的实验室，还应当对实验室⼯
作⼈员进⾏健康监测，每年组织对其进⾏体检，并建⽴健康档案；必要时，应当对实验室⼯作⼈员
进⾏预防接种。"
基础科目,下列病中属于⼆类动物疫病的是（ ）。,痒病,狂⽝病,⾼致病性禽流感,⽜流⾏热,马腺疫,B,"标准答案：B
出处：押题1.pdf
解析：⼆类动物疫病包括37种：多种动物共患病（7种）：狂⽝病（B项）、布鲁⽒菌病、炭疽、蓝⾆病、
⽇本脑炎、棘球蚴病、⽇本⾎吸⾍病。⽜病（3种）：⽜结节性⽪肤病、⽜传染性⿐⽓管炎（传染性
脓疱外阴阴道炎）、⽜结核病。绵⽺和⼭⽺病（2种）：绵⽺痘和⼭⽺痘、⼭⽺传染性胸膜肺炎。马
病（2种）：马传染性贫⾎、马⿐疽。猪病（3种）：猪瘟、猪繁殖与呼吸综合征、猪流⾏性腹泻。
禽病（3种）：新城疫、鸭瘟、⼩鹅瘟。兔病（1种）：兔出⾎症。蜜蜂病（2种）：美洲蜜蜂幼⾍腐
臭病、欧洲蜜蜂幼⾍腐臭病。鱼类病（11种）：鲤春病毒⾎症、草鱼出⾎病、传染性脾肾坏死病、
锦鲤疱疹病毒病、刺激隐核⾍病、淡⽔鱼细菌性败⾎症、病毒性神经坏死病、传染性造⾎器官坏死
病、流⾏性溃疡综合征、鲫造⾎器官坏死病、鲤浮肿病。甲壳类病（3种）：⽩斑综合征、⼗⾜⽬虹
彩病毒病、虾肝肠胞⾍病。AC两项是⼀类动物疫病。DE两项，属于三类动物疫病。"
基础科目,兽药的标签应以中⽂或适⽤符号标明产品的（ ）。,⽣产⽇期、有效期,⼚名、⼚址,产品成分,通⽤名称,以上都是,E,"标准答案：E
出处：押题1.pdf
解析：《兽药管理条例》第⼆⼗条规定：兽药的标签或者说明书，应当以中⽂注明兽药的通⽤名称、成分
及其含量、规格、⽣产企业、产品批准⽂号（进⼜兽药注册证号）、产品批号、⽣产⽇期、有效
期、适应证或者功能主治、⽤法、⽤量、休药期、禁忌、不良反应、注意事项、运输贮存保管条件
及其他应当说明的内容。有商品名称的，还应当注明商品名称。"
基础科目,不属于假兽药的是（ ）。,所含成分名称与兽药国家标准不符合的,所含成分种类与兽药国家标准不符合的,以他种兽药冒充此种兽药的,成分含量不符合兽药国家标准的,以⾮兽药冒充兽药的,D,"标准答案：D
出处：押题1.pdf
解析：有下列情形之⼀的药物，为假兽药：①以⾮兽药冒充兽药或者以他种兽药冒充此种兽药的；②兽药
所含成分的种类、名称与兽药国家标准不符合的。D项，属于劣兽药。"
基础科目,李某为⼀名执业兽医师，他在动物诊疗活动中发现动物染疫，应当⽴即报告给（ ）。,所在地⼈民政府农业农村主管部门或者动物疫病预防控制机构,当地卫⽣主管部门,当地⼈民政府,所在动物诊疗机构,社区负责⼈,A,"标准答案：A
出处：押题1.pdf
解析：根据《执业兽医和乡村兽医管理办法》第⼆⼗五条：执业兽医和乡村兽医在动物诊疗活动中发现动
物染疫或者疑似染疫的，应当按照国家规定⽴即向所在地⼈民政府农业农村主管部门或者动物疫病
预防控制机构报告，并迅速采取隔离、消毒等控制措施，防⽌动物疫情扩散。"
